gene	logFC	pval	adj_pval
ECM1	-3.52009627746495	1.32607873411203e-49	1.22677017113519e-46
ECM2	-1.02751331370238	8.75756385061691e-15	5.58739284446256e-14
ECT2	2.3860244587397	9.76463455379523e-39	1.6937572353104e-36
EDG2	-1.39186474046531	3.13847872502176e-22	5.62561331852124e-21
EDIL3	1.61916112800398	4.16242000660977e-14	2.42776245008988e-13
EDNRB	-1.65859119808255	2.96503964640554e-30	1.66803514161977e-28
EFNA4	1.05271129514928	1.99111804451427e-25	5.61967757241554e-24
EFNB3	-2.13780026316449	6.16333249976607e-42	1.50929136450154e-39
EGFL6	1.15386491635027	9.69114645015617e-15	6.14067620578388e-14
EGR1	-1.40129349452345	6.97082020719179e-24	1.5944793693703e-22
EGR2	-1.38182102593979	1.42503799635133e-13	7.71447747569649e-13
EGR3	-1.56021048681798	2.91503875026401e-17	2.55480132996823e-16
EHD3	-2.18104552584558	7.49281155803741e-36	8.72519566884188e-34
EHMT2	1.05256749517676	8.18389341542029e-32	5.63133029560243e-30
EIF4E3	-1.13816484322236	3.6432373181267e-17	3.1482712932769e-16
EME1	1.84030659016927	1.47409012660951e-32	1.12598847652759e-30
EMR1	-2.417006581958	6.27512400496744e-34	5.97104942461245e-32
ENAH	1.09977927650857	1.3243227580792e-21	2.17053371727704e-20
ENDOD1	-1.10558949868504	1.3244302818349e-19	1.60512467635478e-18
ENG	-1.16262265050745	1.47549714893218e-21	2.39941196523619e-20
ENO3	-1.71874795506391	4.21171317911437e-29	2.0328535611192e-27
EOMES	-1.50493188074191	5.12558396716863e-18	4.96047133282153e-17
EPB41L3	-1.28789939817256	2.37346063976234e-18	2.40553052789547e-17
EPB41L4A	-1.21370587957334	1.19318281929948e-19	1.45453003711383e-18
EPB41L4B	-1.32316247163826	4.26252188854627e-18	4.16791042208294e-17
EPHA2	-1.49706394939641	5.08329303322729e-28	2.0893186287671e-26
EPHA3	-2.05305299183535	8.97217064232823e-17	7.36709001657049e-16
EPHB1	-1.35094192510806	1.92475283162748e-16	1.52116678463507e-15
EPHX2	-1.07260825901474	4.06465117312094e-17	3.47456731698203e-16
EPO	-1.65788754750545	3.14588294414751e-11	1.30636515675672e-10
EPPK1	1.85563749245852	8.37196321605848e-14	4.66409941364355e-13
EPS8L3	2.78782994902916	5.09246857510181e-20	6.6094923392514e-19
ERCC6L	1.60183130251669	3.4542747998879e-31	2.24689781123958e-29
EREG	-1.02904662777986	4.98022581937558e-07	1.28316138549036e-06
ESCO2	2.02514723756994	1.9932727704012e-32	1.50189946482899e-30
ESM1	3.82579459369744	2.86713152323655e-37	4.04605712923179e-35
